col1;col2;col3;col4;col5;col6;col7;col8;col9;col10;target
38.29;38.29;38.29;38.29;38.29;38.29;38.66;38.66;38.66;38.66;1
39.03;38.66;39.03;39.03;39.03;39.03;39.03;39.03;39.03;39.03;1
39.41;39.41;39.41;39.41;39.41;39.41;39.78;39.41;39.78;39.78;1
39.78;39.78;39.78;39.78;40.15;40.15;40.15;40.15;40.15;40.15;1
40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.72;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.35;3.35;3.72;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;2.97;3.35;3.35;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.23;2.6;-1
2.6;2.23;2.23;2.23;2.23;2.6;2.6;2.23;2.6;2.23;-1
2.6;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;1.86;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;1.86;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;1.86;2.23;1.86;2.23;-1
2.23;1.86;1.86;1.86;1.86;1.86;2.23;1.86;1.86;2.23;-1
2.23;1.86;1.86;1.86;1.86;1.86;1.86;2.23;2.23;2.23;-1
2.23;2.23;1.86;2.23;2.23;2.23;2.23;2.23;2.23;1.86;-1
2.23;2.23;2.23;2.23;1.86;2.23;2.23;2.23;2.23;1.86;-1
1.86;1.86;2.23;1.86;2.23;2.23;2.23;2.23;2.23;2.23;-1
3.35;3.35;3.35;3.35;3.72;3.72;4.09;4.09;4.46;4.46;1
5.2;5.58;5.58;5.58;5.95;5.95;5.95;6.32;6.32;6.69;1
7.43;7.43;7.43;7.43;7.81;7.81;8.18;8.18;8.55;8.55;1
9.29;9.29;9.29;9.67;9.67;9.67;10.04;10.04;10.41;10.41;1
11.15;11.15;11.52;11.52;11.9;11.9;11.9;11.9;12.27;12.27;1
13.01;13.01;13.38;13.38;13.38;13.75;13.75;13.75;14.13;14.13;1
14.87;14.87;14.87;15.24;15.24;15.61;15.61;15.61;15.61;15.99;1
16.36;16.36;16.36;16.36;16.73;16.73;16.73;16.73;17.1;17.1;1
17.47;17.47;17.47;17.47;17.84;17.84;17.84;17.84;18.22;18.22;1
18.59;18.59;18.59;18.59;18.96;18.96;18.96;18.96;19.33;19.33;1
19.7;19.7;20.07;20.07;20.07;20.07;20.07;20.45;20.45;20.45;1
20.82;20.82;20.82;20.82;21.19;21.19;21.19;21.19;21.19;21.19;1
21.56;21.56;21.56;21.56;21.93;21.93;21.93;21.93;21.93;21.93;1
22.3;22.3;22.3;22.3;22.3;22.3;22.3;22.68;22.68;22.68;1
23.05;23.05;23.05;23.05;23.05;23.05;23.05;23.05;23.42;23.42;1
23.42;23.42;23.42;23.79;23.79;23.79;23.79;23.79;23.79;24.16;1
24.16;24.16;24.16;24.16;24.54;24.54;24.54;24.54;24.54;24.54;1
24.91;24.91;24.91;24.91;24.91;24.91;24.91;24.91;25.28;25.28;1
25.65;25.28;25.28;25.65;25.65;25.65;25.65;25.65;25.65;26.02;1
26.02;26.02;26.02;26.02;26.39;26.39;26.39;26.39;26.77;26.39;1
26.77;26.77;26.77;27.14;27.14;27.14;27.14;27.14;27.51;27.51;1
27.88;27.88;27.88;27.88;28.25;27.88;28.25;28.25;28.25;28.25;1
28.62;28.62;28.62;28.62;29;29;29;29;29;29.37;1
29.74;29.74;29.74;29.74;29.74;29.74;29.74;30.11;30.11;30.11;1
30.48;30.48;30.48;30.48;30.86;30.86;30.86;30.86;30.86;30.86;1
31.23;31.23;31.23;31.23;31.6;31.6;31.6;31.6;31.6;31.97;1
31.97;32.34;32.34;32.34;32.34;32.34;32.34;32.34;32.71;32.71;1
33.09;33.09;33.09;33.09;33.09;33.46;33.46;33.46;33.46;33.46;1
33.83;34.2;34.2;34.2;34.2;34.57;34.57;34.57;34.57;34.57;1
35.32;35.32;35.32;35.32;35.32;35.32;35.69;35.69;35.69;35.69;1
36.06;36.06;36.06;36.43;36.43;36.43;36.43;36.43;36.8;36.8;1
36.8;37.17;37.17;37.17;37.17;37.17;37.17;37.17;37.55;37.55;1
37.92;37.92;37.92;37.92;37.92;37.92;37.92;37.92;38.29;38.29;1
38.66;38.66;38.66;38.66;38.66;38.66;39.03;38.66;39.03;39.03;1
39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.78;39.78;1
40.15;40.15;40.15;40.15;40.15;40.52;40.15;40.52;40.52;40.52;1
40.89;40.89;40.89;40.89;40.89;40.89;40.89;40.89;40.89;40.89;1
41.26;41.26;41.26;41.26;41.64;41.64;41.64;41.64;41.64;41.64;1
42.01;42.01;42.01;42.01;42.01;42.01;42.01;42.01;42.38;42.38;1
42.38;42.38;42.38;42.38;42.38;42.75;42.75;42.75;42.75;42.75;1
43.12;43.12;43.12;43.12;43.12;43.12;43.12;43.12;43.12;43.12;1
43.49;43.49;43.49;43.49;43.49;43.49;43.49;43.49;43.87;43.87;1
43.87;43.87;43.87;43.87;43.87;44.24;44.24;44.24;44.24;44.24;1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.35;3.35;3.72;3.35;3.72;3.72;3.35;3.72;3.72;3.72;-1
3.72;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;2.97;3.35;3.35;2.97;3.35;-1
2.97;3.35;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.6;2.97;2.97;2.97;2.97;-1
2.97;2.6;2.97;2.97;2.6;2.97;2.97;2.6;2.97;2.97;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.97;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.97;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.23;2.23;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.23;2.6;2.23;2.23;2.23;2.23;2.23;2.6;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.6;2.23;2.23;-1
2.6;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.6;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.97;2.97;2.97;2.97;3.35;3.35;3.35;3.35;3.72;3.72;1
4.46;4.83;4.83;4.83;5.2;5.2;5.2;5.2;5.58;5.58;1
6.32;6.69;6.69;6.69;7.06;7.06;7.06;7.06;7.43;7.43;1
8.18;8.18;8.18;8.18;8.18;8.55;8.55;8.55;8.55;8.92;1
9.67;9.67;9.67;9.67;9.67;10.04;10.04;10.04;10.04;10.41;1
10.78;10.78;10.78;11.15;11.15;11.15;11.15;11.15;11.52;11.52;1
12.27;12.27;12.27;12.27;12.64;12.64;12.64;12.64;12.64;13.01;1
13.38;13.38;13.38;13.75;13.75;14.13;14.13;14.13;14.13;14.13;1
14.5;14.87;14.87;14.87;15.24;15.24;15.24;15.24;15.61;15.24;1
15.99;15.99;15.99;15.99;16.36;16.36;16.36;16.36;16.36;16.73;1
17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.1;17.47;1
18.59;18.59;18.59;18.59;18.59;18.59;18.96;18.96;18.96;18.96;1
19.33;19.33;19.33;19.33;19.7;19.7;19.33;19.7;19.7;19.7;1
20.07;20.07;20.07;20.07;20.07;20.07;20.07;20.07;20.07;20.45;1
20.82;20.82;20.82;20.82;21.19;21.19;20.82;21.19;21.19;21.19;1
21.56;21.56;21.56;21.56;21.56;21.56;21.56;21.56;21.93;21.93;1
22.3;22.3;22.3;22.3;22.3;22.3;22.3;22.68;22.68;22.68;1
23.05;23.05;23.05;23.05;23.05;23.05;23.05;23.42;23.42;23.42;1
24.16;24.54;24.16;24.54;24.54;24.54;24.54;24.54;24.91;24.91;1
25.28;25.28;25.28;25.28;25.65;25.28;25.65;25.65;25.65;25.65;1
26.39;26.02;26.39;26.39;26.39;26.39;26.39;26.77;26.77;26.77;1
27.14;27.14;27.51;27.51;27.88;27.51;27.88;27.88;27.88;27.88;1
28.62;28.62;28.25;28.62;28.62;28.62;28.62;29;29;29;1
29.37;29.37;29.37;29.37;29.74;29.74;29.74;29.74;30.11;30.11;1
30.48;30.48;30.48;30.48;30.86;30.86;30.86;30.86;30.86;30.86;1
31.6;31.6;31.6;31.6;31.6;31.97;31.97;31.97;31.97;31.97;1
32.34;32.34;32.34;32.34;32.71;32.71;32.71;32.71;32.71;32.71;1
33.09;33.09;33.09;33.46;33.46;33.46;33.46;33.46;33.46;33.46;1
33.83;33.83;33.83;34.2;34.2;34.2;34.2;34.2;34.2;34.57;1
34.94;34.94;34.94;34.94;34.94;34.94;34.94;34.94;34.94;34.94;1
35.32;35.32;35.32;35.32;35.69;35.69;35.69;35.69;35.69;35.69;1
36.06;36.06;36.06;36.06;36.43;36.43;36.43;36.43;36.43;36.43;1
36.43;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;36.8;1
37.17;37.17;37.17;37.17;37.17;37.17;37.17;37.17;37.55;37.55;1
37.55;37.55;37.55;37.55;37.92;37.92;37.92;37.92;37.92;37.92;1
37.92;37.92;37.92;37.92;38.29;38.29;38.29;38.29;38.29;38.29;1
38.29;38.66;38.29;38.29;38.66;38.66;38.66;38.66;38.66;38.66;1
39.03;39.03;38.66;39.03;39.03;39.03;39.03;39.03;39.41;39.41;1
39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.78;39.78;1
39.78;39.78;39.78;40.15;39.78;40.15;40.15;40.15;40.15;40.15;1
40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;40.52;1
40.89;40.89;40.89;40.89;40.89;40.89;40.89;40.89;40.89;41.26;1
41.26;41.26;41.26;41.26;41.64;41.64;41.64;41.64;41.64;41.64;1
41.64;41.64;41.64;41.64;27.14;23.05;20.45;16.36;11.9;7.06;-1
4.09;4.09;4.09;4.09;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;4.09;3.72;3.72;3.72;3.72;3.72;-1
4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;-1
4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;-1
4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;-1
4.46;4.09;4.46;4.09;4.09;4.09;4.46;4.09;4.09;4.09;-1
4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;-1
4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;-1
4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;4.09;3.72;-1
3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;3.72;-1
3.72;3.72;3.72;3.72;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;3.35;-1
3.35;3.35;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;2.97;-1
2.97;2.97;2.6;2.97;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.97;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;2.6;-1
2.6;2.6;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.6;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;2.23;-1
